t,mx,my,mz,E_total,Q,cx_nm,cy_nm
1.3827e-09,0.0540030639232,-0.0618320745922,0.00689618956457,2.36077739109e-18,0.429101993102,-97.5,97.5
1.3927e-09,0.0545168392255,-0.061718482285,0.00703190467247,2.36089511429e-18,0.428763251358,-97.5,97.5
1.4027e-09,0.0550874415661,-0.0616181328418,0.00712497579674,2.36100565812e-18,0.428414850843,97.5,97.5
1.4127e-09,0.0557162011524,-0.0615367116461,0.00716977744871,2.36111578342e-18,0.428113690538,97.5,97.5
1.4227e-09,0.0563994260685,-0.0614715611664,0.00716732998235,2.3612316802e-18,0.427908563149,97.5,97.5
1.4327e-09,0.0571277782087,-0.0614128328562,0.00712348708783,2.36135714436e-18,0.427830811397,97.5,97.5
1.4427e-09,0.0578861528685,-0.0613465822809,0.00704690901941,2.361492772e-18,0.427888083529,97.5,97.5
1.4527e-09,0.0586544492775,-0.0612587764254,0.00694738170277,2.36163601803e-18,0.42806231688,97.5,97.5
1.4627e-09,0.0594093918126,-0.0611391298998,0.006834813916,2.36178191398e-18,0.42831313904,97.5,97.5
1.4727e-09,0.0601273147291,-0.0609838327311,0.00671889957522,2.36192432041e-18,0.428586920834,97.5,97.5
1.4827e-09,0.0607875815819,-0.0607965204468,0.00660914835431,2.36205747826e-18,0.428829206897,-97.5,97.5
1.4927e-09,0.0613760600342,-0.0605872763064,0.00651489097795,2.36217749725e-18,0.428996298145,-97.5,97.5
1.5027e-09,0.0618878944291,-0.0603699491857,0.00644494804311,2.36228345497e-18,0.429062552587,-97.5,97.5
1.5127e-09,0.0623288629363,-0.0601584630969,0.00640683413218,2.3623778502e-18,0.429022657791,-97.5,97.5
1.5227e-09,0.0627149170863,-0.0599630229273,0.00640558481403,2.36246620361e-18,0.428890034663,-97.5,97.5
1.5327e-09,0.0630699403563,-0.0597871838144,0.00644248866234,2.36255577553e-18,0.428692620754,-97.5,97.5
